dataset_id,duong_dan,loai_du_lieu,do_tin_cay,quality_score,freshness_score,coverage_score,completeness_score,operational_readiness
economic_action_recommendations_032131Z,datasets/gold/archive/2026-05-23/economic_action_recommendations_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
flight_price_signal_032131Z,datasets/gold/archive/2026-05-23/flight_price_signal_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_032131Z,datasets/gold/archive/2026-05-23/forecast_demand_scores_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_032131Z,datasets/gold/archive/2026-05-23/hotel_price_pressure_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_032131Z,datasets/gold/archive/2026-05-23/kiem_dinh_proxy_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_032131Z,datasets/gold/archive/2026-05-23/kpi_confidence_scores_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_032131Z,datasets/gold/archive/2026-05-23/kpi_scale_catalog_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_032131Z,datasets/gold/archive/2026-05-23/local_spending_poi_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_032131Z,datasets/gold/archive/2026-05-23/national_destination_alerts_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_032131Z,datasets/gold/archive/2026-05-23/news_action_recommendations_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_032131Z,datasets/gold/archive/2026-05-23/news_events_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_032131Z,datasets/gold/archive/2026-05-23/news_risk_signals_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_032131Z,datasets/gold/archive/2026-05-23/proxy_vs_nearrealtime_comparison_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_032131Z,datasets/gold/archive/2026-05-23/redistribution_features_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_032131Z,datasets/gold/archive/2026-05-23/thoi_tiet_hien_tai_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_032131Z,datasets/gold/archive/2026-05-23/ticket_pressure_scores_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_032131Z,datasets/gold/archive/2026-05-23/xep_hang_canh_bao_toan_quoc_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_082107Z,datasets/gold/archive/2026-05-23/attraction_ticket_catalog_082107Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_082107Z,datasets/gold/archive/2026-05-23/danh_sach_diem_den_mo_rong_082107Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
